Helység.megnevezése;IRSZ;Településrész;Helység.KSH.kódja;Helység.jogállása;Vármegye.megnevezése;Járás.kódja;Járás.neve;Járás.székhelye;Polgármesteri.hivatal..közös.önkormányzati.hivatal.kódja;Polgármesteri.hivatal..közös.önkormányzati.hivatal.székhelye;Terület...hektár.;Lakó.népesség;Lakások.száma;Becsült.terület.adatokkal;NemzetisegiOnkormanyzat_bolgár;NemzetisegiOnkormanyzat_görög;NemzetisegiOnkormanyzat_horvát;NemzetisegiOnkormanyzat_lengyel;NemzetisegiOnkormanyzat_német;NemzetisegiOnkormanyzat_örmény;NemzetisegiOnkormanyzat_roma;NemzetisegiOnkormanyzat_román;NemzetisegiOnkormanyzat_ruszin;NemzetisegiOnkormanyzat_szerb;NemzetisegiOnkormanyzat_szlovák;NemzetisegiOnkormanyzat_szlovén;NemzetisegiOnkormanyzat_ukrán
Aba;8127;;17376;város;Fejér;085 0;Székesfehérvári;Székesfehérvár;1;–;8805;4371;1570;;;;;;;;;;;;;;
Abádszalók;5241;;12441;város;Jász-Nagykun-Szolnok;164 0;Kunhegyesi;Kunhegyes;2;[Helyben];13223;3727;2018;;;;;;;;1;;;;;;
Abaliget;7678;;12548;község;Baranya;028 0;Pécsi;Pécs;5;Orfű;1609;596;286;;;;;;1;;1;;;;;;
Abasár;3261;;24554;község;Heves;106 0;Gyöngyösi;Gyöngyös;1;–;2082;2473;1175;;;;;;;;;;;;;;
Abaújalpár;3882;;15662;község;Borsod-Abaúj-Zemplén;057 0;Gönci;Gönc;5;Abaújkér;848;73;54;;;;;;;;;;;;;;
Abaújkér;3882;;26718;község;Borsod-Abaúj-Zemplén;057 0;Gönci;Gönc;2;[Helyben];1727;547;278;;;;;;;;1;;;;;;
Abaújlak;3815;;02820;község;Borsod-Abaúj-Zemplén;067 0;Szikszói;Szikszó;5;Selyeb;706;64;75;;;;;;;;;;;;;;
Abaújszántó;3881;;03595;város;Borsod-Abaúj-Zemplén;057 0;Gönci;Gönc;2;[Helyben];4739;2671;1161;;;;;;;;1;;;;;;1
Abaújszolnok;3809;;26338;község;Borsod-Abaúj-Zemplén;067 0;Szikszói;Szikszó;5;Selyeb;867;227;50;;;;;;;;1;;;;;;
Abaújvár;3898;;02273;község;Borsod-Abaúj-Zemplén;057 0;Gönci;Gönc;5;Gönc;735;229;139;;;;;;;;;;;;;;
Abda;9151;;11882;község;Győr-Moson-Sopron;087 0;Győri;Győr;2;[Helyben];1902;3155;1226;;;;;;;;;;;;;;
Abod;3753;;10357;község;Borsod-Abaúj-Zemplén;055 0;Edelényi;Edelény;5;Edelény;3116;136;126;;;;;;;;;;1;;;;
Abony;2740;;27872;város;Pest;124 0;Ceglédi;Cegléd;1;–;12797;14603;5963;;;;;;;;1;;;;;;
Ábrahámhegy;8256;;04561;község;Veszprém;189 0;Tapolcai;Tapolca;5;Badacsonytomaj;1488;592;392;;;;;;;;;;;;;;
Ács;2941;;04428;város;Komárom-Esztergom;112 0;Komáromi;Komárom;1;–;10385;6920;2791;;;;;;;;1;;;;;;
Acsa;2683;;18573;község;Pest;138 0;Váci;Vác;2;[Helyben];2694;1320;476;;;;;;;;1;;;;1;;
Acsád;9746;;07214;község;Vas;181 0;Szombathelyi;Szombathely;5;Nemesbőd;1434;623;189;;;;;;;;;;;;;;
Acsalag;9168;;33385;község;Győr-Moson-Sopron;086 0;Csornai;Csorna;5;Farád;1042;448;223;;;;;;;;;;;;;;
Ácsteszér;2887;;18139;község;Komárom-Esztergom;111 0;Kisbéri;Kisbér;5;Bakonyszombathely;1771;660;239;;;;;;;;;;;;;;
Adács;3292;;23241;község;Heves;106 0;Gyöngyösi;Gyöngyös;1;–;3794;2507;1192;;;;;;;;1;;;;;;
Ádánd;8653;;06080;község;Somogy;146 0;Siófoki;Siófok;2;[Helyben];2952;2049;835;;;;;;;;1;;;;;;
Adásztevel;8561;;07302;község;Veszprém;187 0;Pápai;Pápa;2;[Helyben];837;752;320;;;;;;1;;;;;;;;
Adony;2457;;08925;város;Fejér;078 0;Dunaújvárosi;Dunaújváros;2;[Helyben];6105;4103;1685;;;;;;1;;;;;;;;
Adorjánháza;8497;;31307;község;Veszprém;186 0;Devecseri;Devecser;5;Somlóvásárhely;1143;349;197;;;;;;;;1;;;;;;
Adorjás;7841;;06868;község;Baranya;030 0;Sellyei;Sellye;5;Baksa;810;160;59;;;;;;;;1;;;;;;
Ág;7381;;25812;község;Baranya;025 0;Hegyháti;Sásd;5;Vásárosdombó;1203;153;67;;;;;;;;1;;;;;;
Ágasegyháza;6076;;17686;község;Bács-Kiskun;038 0;Kecskeméti;Kecskemét;1;–;5587;1861;897;;;;;;;;;;;;;;
Ágfalva;9423;;04880;község;Győr-Moson-Sopron;091 0;Soproni;Sopron;1;–;1308;2409;866;;;;;;1;;;;;;;;
Aggtelek;3759;;09362;község;Borsod-Abaúj-Zemplén;063 0;Putnoki;Putnok;5;Ragály;4382;443;241;;;;;;;;;;;;;;
Agyagosszergény;9441;;29407;község;Győr-Moson-Sopron;088 0;Kapuvári;Kapuvár;5;Vitnyéd;1988;926;391;;;;;;;;;;;;;;
Ajak;4524;;08776;város;Szabolcs-Szatmár-Bereg;153 0;Kisvárdai;Kisvárda;1;–;2476;3218;1289;;;;;;;;;;;;;;
Ajka;8448;Bakonygyepes;06673;város;Veszprém;183 1;Ajkai;Ajka;2;[Helyben];9504;26007;12908;;;;;;1;;1;;;;;;
Ajka;8400;;06673;város;Veszprém;183 1;Ajkai;Ajka;2;[Helyben];9504;26007;12908;;;;;;1;;1;;;;;;
Ajka;8447;Ajkarendek;06673;város;Veszprém;183 1;Ajkai;Ajka;2;[Helyben];9504;26007;12908;;;;;;1;;1;;;;;;
Ajka;8451;Padragkút;06673;város;Veszprém;183 1;Ajkai;Ajka;2;[Helyben];9504;26007;12908;;;;;;1;;1;;;;;;
Aka;2862;;06682;község;Komárom-Esztergom;111 0;Kisbéri;Kisbér;5;Tárkány;1809;250;125;;;;;;;;;;;;;;
Akasztó;6221;;21944;község;Bács-Kiskun;039 0;Kiskőrösi;Kiskőrös;1;–;6488;3113;1533;;;;;;;;;;;;;;
Alacska;3779;;33093;község;Borsod-Abaúj-Zemplén;058 0;Kazincbarcikai;Kazincbarcika;5;Berente;856;599;267;;;;;;;;;;;;;;
Alap;7011;;26824;község;Fejér;084 0;Sárbogárdi;Sárbogárd;2;[Helyben];4829;1840;848;;;;;;;;;;;;;;
Alattyán;5142;;25265;község;Jász-Nagykun-Szolnok;161 0;Jászapáti;Jászapáti;1;–;3429;2060;884;;;;;;;;1;;;;;;
Albertirsa;2730;;31653;város;Pest;124 0;Ceglédi;Cegléd;2;[Helyben];7300;13950;5285;;;;;;;;1;;;;1;;
Alcsútdoboz;8087;;15176;község;Fejér;077 0;Bicskei;Bicske;5;Felcsút;5071;1507;577;;;;;;;;;;;;;;
Aldebrő;3353;;06345;község;Heves;105 0;Füzesabonyi;Füzesabony;5;Kápolna;2178;689;347;;;;;;1;;;;;;;;
Algyő;6750;;34245;nagyközség;Csongrád-Csanád;075 0;Szegedi;Szeged;1;–;7577;5364;2093;;;;;;;;1;;;;;;
Alibánfa;8921;;02644;község;Zala;197 0;Zalaegerszegi;Zalaegerszeg;5;Pókaszepetk;584;428;171;;;;;;;;;;;;;;
Almamellék;7934;;13329;község;Baranya;033 0;Szigetvári;Szigetvár;5;Szentlászló;4433;373;170;;;;;;1;;;;;;;;
Almásfüzitő;2931;;32346;község;Komárom-Esztergom;112 0;Komáromi;Komárom;1;–;818;2016;1119;;;;;;;;;;;;;;
Almásháza;8935;;23384;község;Zala;197 0;Zalaegerszegi;Zalaegerszeg;5;Nagykapornak;498;75;40;;;;;;;;;;;;;;
Almáskamarás;5747;;29595;község;Békés;049 0;Mezőkovácsházai;Mezőkovácsháza;5;Kunágota;1471;643;421;;;;;;1;;;;;;;;
Almáskeresztúr;7932;;20376;község;Baranya;033 0;Szigetvári;Szigetvár;5;Mozsgó;1303;85;51;;;;;;;;;;;;;;
Álmosd;4285;;27641;község;Hajdú-Bihar;101 0;Nyíradonyi;Nyíradony;2;[Helyben];3413;1638;675;;;;;;;;1;;;;;;
Alsóberecki;3985;;20482;község;Borsod-Abaúj-Zemplén;065 0;Sátoraljaújhelyi;Sátoraljaújhely;5;Mikóháza;686;654;280;;;;;;;;;;;;;;
Alsóbogát;7443;;34184;község;Somogy;143 0;Kaposvári;Kaposvár;5;Somogyjád;1201;219;98;;;;;;;;;;;;;;
Alsódobsza;3717;;19664;község;Borsod-Abaúj-Zemplén;066 0;Szerencsi;Szerencs;5;Megyaszó;1068;294;137;;;;;;;;;;;;;;
Alsógagy;3837;;14429;község;Borsod-Abaúj-Zemplén;056 0;Encsi;Encs;5;Szalaszend;628;86;51;;;;;;;;;;;;;;
Alsómocsolád;7345;;17385;község;Baranya;025 0;Hegyháti;Sásd;5;Mágocs;1300;264;134;;;;;;;;;;;;;;
Alsónána;7147;;29665;község;Tolna;173 0;Szekszárdi;Szekszárd;5;Bátaszék;1314;611;281;;;;;;;;;;;;;;
Alsónémedi;2351;;23199;nagyközség;Pest;129 0;Gyáli;Gyál;1;–;4907;5584;2193;;;;;;;;;;;;;;
Alsónemesapáti;8924;;19512;község;Zala;197 0;Zalaegerszegi;Zalaegerszeg;5;Nagypáli;1451;668;274;;;;;;;;;;;;;;
Alsónyék;7148;;11563;község;Tolna;173 0;Szekszárdi;Szekszárd;5;Bátaszék;3201;646;299;;;;;;;;;;;;;;
Alsóörs;8226;;30526;község;Veszprém;185 0;Balatonfüredi;Balatonfüred;2;[Helyben];3334;1919;1029;;;;;;;;;;;;;;
